,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
منطقه ۱۲,61,0,464,1583,1,7,3,226,9,88.89,"[(36.3510607, 59.4658001), (36.3562949, 59.4732138), (36.3556127, 59.4719881), (36.3544654, 59.4701806), (36.3520511, 59.4668873), (36.3510607, 59.4658001), (36.3415513, 59.4605236), (36.3405088, 59.4605894), (36.340156, 59.460644), (36.3510607, 59.4658001), (36.350458, 59.4652103), (36.3483159, 59.4638136), (36.3464888, 59.4627841), (36.3423793, 59.4607511), (36.3415513, 59.4605236), (36.347341, 59.4424436), (36.3446734, 59.4467617), (36.3432454, 59.4508815), (36.3430307, 59.4515365), (36.3424788, 59.4532661), (36.340156, 59.460644), (36.346666, 59.4444901), (36.3469982, 59.4434856), (36.347341, 59.4424436), (36.361849, 59.4202603), (36.347341, 59.4424436), (36.3476696, 59.4422256), (36.3493868, 59.4410107), (36.3543667, 59.437405), (36.354712, 59.4371409), (36.3549701, 59.436911), (36.3551991, 59.4366025), (36.3573993, 59.4315068), (36.3583813, 59.4290421), (36.361849, 59.4202603), (36.362589, 59.4201994), (36.361849, 59.4202603), (36.3663558, 59.4233966), (36.3718675, 59.4266152), (36.3725932, 59.4267225), (36.3693277, 59.4243622), (36.362589, 59.4201994), (36.3725932, 59.4267225), (36.3825615, 59.4354343), (36.3815747, 59.4331086), (36.3798493, 59.430778), (36.3781217, 59.4291043), (36.3764114, 59.4279027), (36.3745715, 59.4269579), (36.3725932, 59.4267225), (36.3825615, 59.4354343), (36.3881988, 59.4484914), (36.389946, 59.4469215), (36.3881239, 59.4429016), (36.3856256, 59.4390738), (36.3825615, 59.4354343), (36.3881988, 59.4484914), (36.3882886, 59.4500814), (36.3904709, 59.4694998), (36.393794, 59.4608132), (36.3881988, 59.4484914), (36.3904709, 59.4694998), (36.3948069, 59.4980271), (36.4020205, 59.4813196), (36.3996068, 59.4777977), (36.3982564, 59.4764882), (36.3904709, 59.4694998), (36.3948069, 59.4980271), (36.3835242, 59.5199128), (36.3842327, 59.5197642), (36.3864355, 59.5174974), (36.3872837, 59.5164697), (36.3879012, 59.5151815), (36.3886988, 59.5132991), (36.3907026, 59.5084445), (36.3941515, 59.4998128), (36.3948069, 59.4980271), (36.380253, 59.5148767), (36.3827071, 59.5190836), (36.3835242, 59.5199128), (36.380253, 59.5148767), (36.3741481, 59.5042625), (36.380253, 59.5148767), (36.3783402, 59.5097732), (36.3779322, 59.5087333), (36.3766176, 59.506815), (36.3759099, 59.5059486), (36.3741481, 59.5042625), (36.3711138, 59.500207), (36.3722688, 59.5018752), (36.3733659, 59.503398), (36.3741481, 59.5042625), (36.3711138, 59.500207), (36.3653953, 59.4914132), (36.3675501, 59.4950656), (36.3688072, 59.4969599), (36.3711138, 59.500207), (36.3653953, 59.4914132), (36.3597993, 59.479904), (36.362208, 59.4857312), (36.3628775, 59.4872577), (36.3653953, 59.4914132), (36.3597993, 59.479904), (36.3566149, 59.4739138), (36.3579766, 59.476928), (36.3590443, 59.478748), (36.3597993, 59.479904), (36.3566149, 59.4739138), (36.4633881, 59.5289437), (36.4752083, 59.5420114), (36.4676505, 59.5314971), (36.4633881, 59.5289437), (36.490408, 59.5251671), (36.4752083, 59.5420114), (36.478176, 59.5465819), (36.4845941, 59.5386211), (36.490408, 59.5251671), (36.4846993, 59.4835784), (36.490408, 59.5251671), (36.4944791, 59.5175067), (36.4989467, 59.5010702), (36.4846993, 59.4835784), (36.4612137, 59.4562236), (36.4846993, 59.4835784), (36.4826619, 59.4800202), (36.4796598, 59.4752566), (36.4728099, 59.467961), (36.4612137, 59.4562236), (36.4514626, 59.4453231), (36.4443383, 59.4555531), (36.4612137, 59.4562236), (36.4514626, 59.4453231), (36.4363934, 59.4455033), (36.4224365, 59.4609926), (36.4301655, 59.473865), (36.4443383, 59.4555531), (36.4363934, 59.4455033), (36.4301655, 59.473865), (36.4301439, 59.4925515), (36.4315251, 59.4971863), (36.4398114, 59.5059625), (36.4450245, 59.508516), (36.4342009, 59.4759593), (36.4301655, 59.473865), (36.4450245, 59.508516), (36.4485284, 59.5154253), (36.4522393, 59.522721), (36.4594879, 59.5299093), (36.4633881, 59.5289437), (36.4450245, 59.508516)]"
منطقه ۴,3,0,215,846,2,22,9,87,14,88.89,"[(36.3058221, 59.6813835), (36.3061331, 59.6824978), (36.3080511, 59.6893406), (36.3064869, 59.6837147), (36.3058221, 59.6813835), (36.3024213, 59.6727193), (36.3046786, 59.6789859), (36.3058221, 59.6813835), (36.3027909, 59.673502), (36.3024213, 59.6727193), (36.2973878, 59.6619829), (36.2971069, 59.6626228), (36.2971032, 59.6628756), (36.2972371, 59.6632986), (36.3024213, 59.6727193), (36.2973878, 59.6619829), (36.2880812, 59.6590606), (36.2916513, 59.660165), (36.2939896, 59.6608522), (36.2880812, 59.6590606), (36.293476, 59.6458698), (36.2915236, 59.6477341), (36.2910321, 59.6483637), (36.2908283, 59.6487086), (36.2900147, 59.6502771), (36.2894731, 59.6524839), (36.2880812, 59.6590606), (36.293476, 59.6458698), (36.2906592, 59.6403538), (36.2910335, 59.6417537), (36.2915748, 59.6428395), (36.293476, 59.6458698), (36.2906592, 59.6403538), (36.2894972, 59.6358306), (36.2906592, 59.6403538), (36.290371, 59.6391142), (36.2894972, 59.6358306), (36.2924812, 59.6310097), (36.2898251, 59.6335471), (36.2893688, 59.6343697), (36.2892256, 59.6348052), (36.2894972, 59.6358306), (36.2924812, 59.6310097), (36.2959034, 59.6282883), (36.2956341, 59.6283694), (36.2947008, 59.6288994), (36.2939399, 59.6295914), (36.2924812, 59.6310097), (36.2959034, 59.6282883), (36.2959034, 59.6282883), (36.2963061, 59.6290589), (36.2991494, 59.633549), (36.2959034, 59.6282883), (36.3000303, 59.6349233), (36.3018205, 59.6378606), (36.3017298, 59.6377099), (36.3000303, 59.6349233), (36.320111, 59.6673381), (36.3288348, 59.6813656), (36.3321467, 59.6839915), (36.320111, 59.6673381)]"
منطقه ۲,83,0,624,3579,3,32,11,353,49,88.89,"[(36.340026, 59.5471437), (36.3435371, 59.5479842), (36.3444469, 59.5480593), (36.3452517, 59.5480044), (36.340026, 59.5471437), (36.3452517, 59.5480044), (36.3477968, 59.5493289), (36.3575564, 59.5517976), (36.3589782, 59.5519828), (36.3452517, 59.5480044), (36.3632062, 59.5500109), (36.3589782, 59.5519828), (36.360528, 59.5515458), (36.3620914, 59.5510623), (36.3624947, 59.5507462), (36.3632062, 59.5500109), (36.3692059, 59.5456335), (36.3662367, 59.5471211), (36.3656749, 59.5474742), (36.365188, 59.5478831), (36.3632062, 59.5500109), (36.3692059, 59.5456335), (36.3762947, 59.5418047), (36.3737483, 59.5429379), (36.3705057, 59.5448811), (36.3748853, 59.5427053), (36.3760334, 59.5420104), (36.3762947, 59.5418047), (36.3833005, 59.5295282), (36.3825443, 59.5308247), (36.3762947, 59.5418047), (36.3765589, 59.5415574), (36.3769729, 59.5409114), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3847816, 59.5271368), (36.3839435, 59.5283863), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3878799, 59.5234457), (36.3859285, 59.5256442), (36.3869328, 59.5245251), (36.3878799, 59.5234457), (36.3997806, 59.5101929), (36.3958944, 59.5144219), (36.3930916, 59.51755), (36.3878799, 59.5234457), (36.3904389, 59.5206637), (36.3997806, 59.5101929), (36.3997806, 59.5101929), (36.3931115, 59.5307574), (36.3993071, 59.5266693), (36.4008632, 59.5236152), (36.4022119, 59.5143315), (36.4018376, 59.5131345), (36.3997806, 59.5101929), (36.3832585, 59.5382326), (36.3718809, 59.5519099), (36.3814319, 59.5555739), (36.3838795, 59.5534264), (36.3849351, 59.5465917), (36.3843707, 59.5412944), (36.3832585, 59.5382326), (36.3718809, 59.5519099), (36.3684173, 59.5558107), (36.3672796, 59.5578782), (36.3681969, 59.5574791), (36.3690307, 59.5566663), (36.3718809, 59.5519099), (36.3672796, 59.5578782), (36.3643976, 59.5610475), (36.3614653, 59.5658357), (36.3609302, 59.5668196), (36.3617491, 59.5737907), (36.3670998, 59.5595774), (36.3672796, 59.5578782), (36.3617491, 59.5737907), (36.3620724, 59.5822682), (36.3624335, 59.5874405), (36.363142, 59.5900154), (36.3714845, 59.6034419), (36.3705811, 59.5983798), (36.3617491, 59.5737907), (36.3755849, 59.6040746), (36.3648893, 59.6225393), (36.3734829, 59.611024), (36.3755849, 59.6040746), (36.3362895, 59.6062435), (36.3648893, 59.6225393), (36.3590943, 59.614411), (36.3362895, 59.6062435), (36.3255976, 59.6231243), (36.3266481, 59.6237442), (36.3273831, 59.6240169), (36.3255976, 59.6231243), (36.3031026, 59.609197), (36.3032125, 59.6093045), (36.3074113, 59.6118982), (36.3115763, 59.6144362), (36.3031026, 59.609197), (36.3164062, 59.5859143), (36.3140747, 59.5884698), (36.3124625, 59.5902776), (36.3164062, 59.5859143), (36.3261639, 59.543501), (36.3254486, 59.5480326), (36.325304, 59.5504701), (36.3261639, 59.543501)]"
ناحیه۱ منطقه ۱,19,3,192,861,4,50,33,151,66,100.0,"[(36.315082, 59.540596), (36.3073821, 59.5523129), (36.3150536, 59.540658), (36.315082, 59.540596), (36.2864007, 59.5570641), (36.300124, 59.5632375), (36.2872233, 59.5571248), (36.2864007, 59.5570641), (36.2864007, 59.5570641), (36.2834663, 59.5597406), (36.2833058, 59.5635863), (36.2910495, 59.5859518), (36.2864007, 59.5570641), (36.2971449, 59.5731041), (36.294871, 59.5771205), (36.2910495, 59.5859518), (36.2916883, 59.5853685), (36.2920731, 59.5849219), (36.2971449, 59.5731041), (36.2973382, 59.5730303), (36.2971449, 59.5731041), (36.301614, 59.5764059), (36.3022398, 59.5767371), (36.3034919, 59.5773822), (36.2986774, 59.5734434), (36.2982861, 59.5731631), (36.2973382, 59.5730303), (36.3053319, 59.5722297), (36.3073021, 59.5731644), (36.3095641, 59.5740375), (36.3079041, 59.5732985), (36.3053319, 59.5722297), (36.3095641, 59.5740375), (36.3099844, 59.5742252), (36.3194346, 59.5767733), (36.3236348, 59.5779052), (36.32258, 59.5776048), (36.3095641, 59.5740375), (36.3261639, 59.543501), (36.3254486, 59.5480326), (36.325304, 59.5504701), (36.3261639, 59.543501), (36.3183929, 59.5414781), (36.3261639, 59.543501), (36.326077, 59.5434779), (36.32597, 59.5434495), (36.3198422, 59.541824), (36.3183929, 59.5414781), (36.315082, 59.540596), (36.3183929, 59.5414781), (36.3177391, 59.5412765), (36.3154192, 59.5406726), (36.315082, 59.540596)]"
ناحیه۲ منطقه ۱,5,0,56,375,0,18,19,62,27,77.78,"[(36.3164062, 59.5859143), (36.3140747, 59.5884698), (36.3124625, 59.5902776), (36.3164062, 59.5859143), (36.3095641, 59.5740375), (36.3099844, 59.5742252), (36.3194346, 59.5767733), (36.3236348, 59.5779052), (36.32258, 59.5776048), (36.3095641, 59.5740375), (36.3053319, 59.5722297), (36.3073021, 59.5731644), (36.3095641, 59.5740375), (36.3079041, 59.5732985), (36.3053319, 59.5722297), (36.2973382, 59.5730303), (36.2971449, 59.5731041), (36.301614, 59.5764059), (36.3022398, 59.5767371), (36.3034919, 59.5773822), (36.2986774, 59.5734434), (36.2982861, 59.5731631), (36.2973382, 59.5730303), (36.2971449, 59.5731041), (36.294871, 59.5771205), (36.2910495, 59.5859518), (36.2916883, 59.5853685), (36.2920731, 59.5849219), (36.2971449, 59.5731041)]"
ناحیه ۲ منطقه ۱۱,2,0,279,593,1,12,8,92,20,88.89,"[(36.3252325, 59.508435), (36.3262645, 59.508947), (36.3294626, 59.5104705), (36.3311697, 59.5112604), (36.3321615, 59.5116158), (36.3336178, 59.5120195), (36.3252325, 59.508435), (36.3336178, 59.5120195), (36.3409046, 59.5139748), (36.334924, 59.5123373), (36.3336178, 59.5120195), (36.3409046, 59.5139748), (36.3412157, 59.5140834), (36.3423338, 59.5144066), (36.3428166, 59.5145448), (36.3451788, 59.5152022), (36.3409046, 59.5139748), (36.3453784, 59.5026735), (36.3452006, 59.5087562), (36.3451828, 59.5141432), (36.3453784, 59.5026735), (36.3466136, 59.4879713), (36.3456257, 59.4986637), (36.3454167, 59.5010733), (36.3463877, 59.4924016), (36.3466136, 59.4879713), (36.3466893, 59.476801), (36.3466136, 59.4879713), (36.3466668, 59.4834177), (36.3466893, 59.476801), (36.3510607, 59.4658001), (36.348718, 59.4684415), (36.3478828, 59.4694029), (36.347164, 59.470692), (36.346727, 59.4726217), (36.3466902, 59.4742376), (36.3466893, 59.476801), (36.3510607, 59.4658001), (36.3415513, 59.4605236), (36.3405088, 59.4605894), (36.340156, 59.460644), (36.3510607, 59.4658001), (36.350458, 59.4652103), (36.3483159, 59.4638136), (36.3464888, 59.4627841), (36.3423793, 59.4607511), (36.3415513, 59.4605236)]"
ناحیه ۱ منطقه ۱۱,3,1,357,568,0,56,3,88,30,88.89,"[(36.3183929, 59.5414781), (36.3261639, 59.543501), (36.326077, 59.5434779), (36.32597, 59.5434495), (36.3198422, 59.541824), (36.3183929, 59.5414781), (36.340026, 59.5471437), (36.3435371, 59.5479842), (36.3444469, 59.5480593), (36.3452517, 59.5480044), (36.340026, 59.5471437), (36.3450991, 59.5366175), (36.3451315, 59.5462898), (36.3452517, 59.5480044), (36.3450991, 59.5366175), (36.3450916, 59.5331941), (36.3450844, 59.5347624), (36.3450991, 59.5366175), (36.3450916, 59.5331941), (36.3451788, 59.5152022), (36.3451174, 59.5229737), (36.3451026, 59.531234), (36.3451709, 59.5171366), (36.3451788, 59.5152022), (36.3409046, 59.5139748), (36.3412157, 59.5140834), (36.3423338, 59.5144066), (36.3428166, 59.5145448), (36.3451788, 59.5152022), (36.3409046, 59.5139748), (36.3336178, 59.5120195), (36.3409046, 59.5139748), (36.334924, 59.5123373), (36.3336178, 59.5120195), (36.3252325, 59.508435), (36.3262645, 59.508947), (36.3294626, 59.5104705), (36.3311697, 59.5112604), (36.3321615, 59.5116158), (36.3336178, 59.5120195), (36.3252325, 59.508435), (36.319233, 59.5276973), (36.315082, 59.540596), (36.315455, 59.5398959), (36.319233, 59.5276973), (36.315082, 59.540596), (36.3183929, 59.5414781), (36.3177391, 59.5412765), (36.3154192, 59.5406726), (36.315082, 59.540596)]"
ناحیه ۲ منطقه ۵,7,0,76,981,2,4,0,51,3,77.78,"[(36.2788683, 59.6555498), (36.2780805, 59.6556277), (36.2702972, 59.6571442), (36.2713087, 59.6575347), (36.2725002, 59.6577036), (36.2880812, 59.6590606), (36.2801267, 59.6557188), (36.2788683, 59.6555498), (36.2750014, 59.6841268), (36.2738344, 59.6858883), (36.2732019, 59.6869196), (36.2715782, 59.6896166), (36.2704218, 59.6915732), (36.2750014, 59.6841268), (36.28033, 59.68297), (36.2703952, 59.6920176), (36.2722124, 59.705013), (36.2847581, 59.7049426), (36.28033, 59.68297), (36.2863088, 59.6858272), (36.311902, 59.7040813), (36.2945128, 59.6897506), (36.2863088, 59.6858272), (36.3058221, 59.6813835), (36.3061331, 59.6824978), (36.3080511, 59.6893406), (36.3064869, 59.6837147), (36.3058221, 59.6813835), (36.3024213, 59.6727193), (36.3046786, 59.6789859), (36.3058221, 59.6813835), (36.3027909, 59.673502), (36.3024213, 59.6727193), (36.2973878, 59.6619829), (36.2971069, 59.6626228), (36.2971032, 59.6628756), (36.2972371, 59.6632986), (36.3024213, 59.6727193), (36.2973878, 59.6619829), (36.2880812, 59.6590606), (36.2916513, 59.660165), (36.2939896, 59.6608522), (36.2880812, 59.6590606)]"
ناحیه ۳ منطقه ۶,0,0,23,310,0,0,1,3,2,55.56,"[(36.2691398, 59.6600116), (36.2689299, 59.6604985), (36.2660645, 59.6676452), (36.2675199, 59.6640377), (36.2691398, 59.6600116), (36.2660645, 59.6676452), (36.2649259, 59.6704334), (36.2625469, 59.6762833), (36.2660645, 59.6676452), (36.2600771, 59.6823411), (36.2573985, 59.6888736), (36.2569999, 59.6903398), (36.2600771, 59.6823411), (36.2569999, 59.6903398), (36.2669475, 59.6989516), (36.2703044, 59.6917953), (36.2701178, 59.6917213), (36.2569999, 59.6903398), (36.2750014, 59.6841268), (36.2738344, 59.6858883), (36.2732019, 59.6869196), (36.2715782, 59.6896166), (36.2704218, 59.6915732), (36.2750014, 59.6841268)]"
ناحیه ۲ منطقه ۶,15,0,112,395,1,1,0,80,2,77.78,"[(36.2580623, 59.6260974), (36.2591417, 59.6424472), (36.2593839, 59.6442282), (36.2600998, 59.6464491), (36.2582247, 59.6271372), (36.2580623, 59.6260974), (36.2572374, 59.6245872), (36.2447073, 59.6523664), (36.2472589, 59.6579812), (36.2579202, 59.6427186), (36.2584047, 59.6417101), (36.2580623, 59.6260974), (36.2572374, 59.6245872), (36.2440711, 59.6672216), (36.2462372, 59.682003), (36.2545277, 59.6926138), (36.2496534, 59.6767344), (36.2440711, 59.6672216), (36.2600771, 59.6823411), (36.2573985, 59.6888736), (36.2569999, 59.6903398), (36.2600771, 59.6823411), (36.2660645, 59.6676452), (36.2649259, 59.6704334), (36.2625469, 59.6762833), (36.2660645, 59.6676452), (36.2691398, 59.6600116), (36.2689299, 59.6604985), (36.2660645, 59.6676452), (36.2675199, 59.6640377), (36.2691398, 59.6600116), (36.2632487, 59.651446), (36.2640013, 59.6520951), (36.2696803, 59.6567729), (36.2702972, 59.6571442), (36.2632487, 59.651446), (36.2600998, 59.6464491), (36.2615034, 59.6494156), (36.2627232, 59.6509391), (36.2632487, 59.651446), (36.2600998, 59.6464491), (36.2503147, 59.704017), (36.2395952, 59.7080227), (36.2379737, 59.7121524), (36.2381208, 59.716042), (36.2410543, 59.719448), (36.2446702, 59.7212537), (36.2503147, 59.704017), (36.2513942, 59.7047338), (36.2446702, 59.7212537), (36.2518874, 59.7237396), (36.2561787, 59.7178172), (36.2564209, 59.712882), (36.2513942, 59.7047338)]"
ناحیه ۱ منطقه ۶,2,0,68,605,1,5,4,44,1,88.89,"[(36.2765014, 59.6173075), (36.2760721, 59.6175185), (36.2739972, 59.6191335), (36.2708723, 59.6258223), (36.2765014, 59.6173075), (36.2708723, 59.6258223), (36.2651845, 59.6296753), (36.2641699, 59.6314564), (36.2668236, 59.6311521), (36.2692591, 59.628483), (36.2708723, 59.6258223), (36.2580623, 59.6260974), (36.2594811, 59.6275243), (36.2641699, 59.6314564), (36.260662, 59.6283504), (36.2580623, 59.6260974), (36.2580623, 59.6260974), (36.2591417, 59.6424472), (36.2593839, 59.6442282), (36.2600998, 59.6464491), (36.2582247, 59.6271372), (36.2580623, 59.6260974), (36.2600998, 59.6464491), (36.2615034, 59.6494156), (36.2627232, 59.6509391), (36.2632487, 59.651446), (36.2600998, 59.6464491), (36.2632487, 59.651446), (36.2640013, 59.6520951), (36.2696803, 59.6567729), (36.2702972, 59.6571442), (36.2632487, 59.651446), (36.27692, 59.6407552), (36.2767341, 59.6411034), (36.2764914, 59.6416641), (36.2702972, 59.6571442), (36.27692, 59.6407552), (36.2815723, 59.6241526), (36.2812767, 59.6248211), (36.27692, 59.6407552), (36.279049, 59.6347421), (36.2815723, 59.6241526), (36.2765014, 59.6173075), (36.2766674, 59.6183165), (36.2767591, 59.618582), (36.2775513, 59.6200627), (36.2777471, 59.6203358), (36.2812779, 59.6238701), (36.2765014, 59.6173075)]"
پایین خیابان,1,0,14,7,0,1,0,11,1,66.67,"[(36.2865655, 59.6179855), (36.2863882, 59.619112), (36.2866606, 59.6197557), (36.2876746, 59.6205926), (36.2885502, 59.6208957), (36.2893977, 59.6200991), (36.2896031, 59.6197182), (36.2896009, 59.6194768), (36.2895793, 59.6183261), (36.2865655, 59.6179855), (36.2865655, 59.6179855), (36.283597, 59.6213061), (36.284585, 59.6202788), (36.2860553, 59.6187003), (36.2865655, 59.6179855), (36.283597, 59.6213061), (36.284118, 59.6217298), (36.2866779, 59.6232962), (36.2876984, 59.6237898), (36.2885632, 59.6239614), (36.289134, 59.6240043), (36.283597, 59.6213061), (36.2924634, 59.6228564), (36.289134, 59.6240043), (36.2899988, 59.6241545), (36.2904733, 59.6241774), (36.2907727, 59.6241371), (36.2910386, 59.6240392), (36.2912937, 59.6239038), (36.2915251, 59.6237348), (36.2924634, 59.6228564)]"
عیدگاه,3,0,41,60,1,1,0,8,0,66.67,"[(36.283597, 59.6213061), (36.2816791, 59.6233687), (36.2812779, 59.6238701), (36.283597, 59.6213061), (36.2865655, 59.6179855), (36.283597, 59.6213061), (36.284585, 59.6202788), (36.2860553, 59.6187003), (36.2865655, 59.6179855), (36.2849202, 59.6130891), (36.2846975, 59.613769), (36.2842824, 59.6155822), (36.2843688, 59.6158612), (36.2853764, 59.6174034), (36.2865655, 59.6179855), (36.2849202, 59.6130891), (36.2838522, 59.6122353), (36.2765014, 59.6173075), (36.2774738, 59.6175466), (36.2776728, 59.6174165), (36.2778031, 59.6173309), (36.2779404, 59.6172366), (36.2781143, 59.6171099), (36.2784678, 59.6168199), (36.2828385, 59.6132179), (36.2838522, 59.6122353), (36.2765014, 59.6173075), (36.2766674, 59.6183165), (36.2767591, 59.618582), (36.2775513, 59.6200627), (36.2777471, 59.6203358), (36.2812779, 59.6238701), (36.2765014, 59.6173075)]"
بالا خیابان,2,0,20,39,1,0,1,32,0,66.67,"[(36.2914516, 59.6129643), (36.2904225, 59.6130502), (36.2901285, 59.6134472), (36.2895793, 59.6183261), (36.2905954, 59.6182054), (36.2908808, 59.6176797), (36.2923, 59.6144003), (36.2914516, 59.6129643), (36.2939669, 59.6102006), (36.2920555, 59.6122785), (36.2914516, 59.6129643), (36.2939669, 59.6102006), (36.2939669, 59.6102006), (36.2955886, 59.6123862), (36.2997119, 59.6178421), (36.2990367, 59.6169187), (36.2939669, 59.6102006), (36.2932697, 59.6168616), (36.2930427, 59.6173042), (36.2918261, 59.6218526), (36.2985391, 59.619678), (36.2963935, 59.6179721), (36.2956153, 59.6176234), (36.2937756, 59.6169957), (36.2932697, 59.6168616)]"
دریادل,0,0,4,15,0,0,0,3,0,33.33,"[(36.3029718, 59.6221947), (36.2959034, 59.6282883), (36.2967156, 59.627901), (36.2971298, 59.6276637), (36.2980847, 59.6269616), (36.3020813, 59.6232616), (36.3025406, 59.6228012), (36.3029718, 59.6221947), (36.2985391, 59.619678), (36.29779, 59.6209574), (36.2976257, 59.6212886), (36.2975263, 59.6215622), (36.2968616, 59.6240527), (36.2959034, 59.6282883), (36.2985391, 59.619678)]"
نوغان,0,0,2,43,1,0,0,9,0,44.44,"[(36.2932697, 59.6168616), (36.2930427, 59.6173042), (36.2918261, 59.6218526), (36.2985391, 59.619678), (36.2963935, 59.6179721), (36.2956153, 59.6176234), (36.2937756, 59.6169957), (36.2932697, 59.6168616), (36.2924634, 59.6228564), (36.2948651, 59.6266893), (36.2959034, 59.6282883), (36.2924634, 59.6228564), (36.2985391, 59.619678), (36.29779, 59.6209574), (36.2976257, 59.6212886), (36.2975263, 59.6215622), (36.2968616, 59.6240527), (36.2959034, 59.6282883), (36.2985391, 59.619678)]"
ناحیه ۱ منطقه ۳,4,0,132,712,4,28,8,173,9,88.89,"[(36.3255976, 59.6231243), (36.3266481, 59.6237442), (36.3273831, 59.6240169), (36.3255976, 59.6231243), (36.3031026, 59.609197), (36.3032125, 59.6093045), (36.3074113, 59.6118982), (36.3115763, 59.6144362), (36.3031026, 59.609197), (36.2939669, 59.6102006), (36.2955886, 59.6123862), (36.2997119, 59.6178421), (36.2990367, 59.6169187), (36.2939669, 59.6102006), (36.3029718, 59.6221947), (36.2959034, 59.6282883), (36.2967156, 59.627901), (36.2971298, 59.6276637), (36.2980847, 59.6269616), (36.3020813, 59.6232616), (36.3025406, 59.6228012), (36.3029718, 59.6221947), (36.2959034, 59.6282883), (36.2963061, 59.6290589), (36.2991494, 59.633549), (36.2959034, 59.6282883), (36.3000303, 59.6349233), (36.3018205, 59.6378606), (36.3017298, 59.6377099), (36.3000303, 59.6349233), (36.3056832, 59.6341257), (36.3018205, 59.6378606), (36.3035054, 59.6362955), (36.3056832, 59.6341257), (36.3056832, 59.6341257), (36.3113526, 59.6370681), (36.3115741, 59.637174), (36.312966, 59.6374918), (36.3068666, 59.6343228), (36.3065964, 59.6342142), (36.3062646, 59.6341579), (36.3056832, 59.6341257), (36.312966, 59.6374918), (36.3170757, 59.6391588), (36.3174236, 59.6392903), (36.3191666, 59.6398656), (36.312966, 59.6374918), (36.3240809, 59.6308815), (36.3227756, 59.6326545), (36.3191666, 59.6398656), (36.3240809, 59.6308815)]"
ناحیه ۲ منطقه ۳,4,0,98,669,2,4,1,70,7,88.89,"[(36.320111, 59.6673381), (36.3288348, 59.6813656), (36.3321467, 59.6839915), (36.320111, 59.6673381), (36.3479822, 59.637406), (36.3410904, 59.6374261), (36.3355938, 59.6406233), (36.3320178, 59.6428402), (36.3298505, 59.6461849), (36.3536393, 59.6427119), (36.351595, 59.640402), (36.3486713, 59.637638), (36.3484812, 59.6375133), (36.3482717, 59.6374288), (36.3479822, 59.637406), (36.3257837, 59.6422823), (36.3278387, 59.644428), (36.3280705, 59.6446574), (36.3290089, 59.6455519), (36.3298505, 59.6461849), (36.3260949, 59.642529), (36.3257837, 59.6422823), (36.3191666, 59.6398656), (36.323667, 59.6415225), (36.3257837, 59.6422823), (36.3253629, 59.6420851), (36.3214779, 59.6404383), (36.3207986, 59.6402367), (36.3200301, 59.6400568), (36.3191666, 59.6398656), (36.312966, 59.6374918), (36.3170757, 59.6391588), (36.3174236, 59.6392903), (36.3191666, 59.6398656), (36.312966, 59.6374918), (36.3056832, 59.6341257), (36.3113526, 59.6370681), (36.3115741, 59.637174), (36.312966, 59.6374918), (36.3068666, 59.6343228), (36.3065964, 59.6342142), (36.3062646, 59.6341579), (36.3056832, 59.6341257), (36.3056832, 59.6341257), (36.3018205, 59.6378606), (36.3035054, 59.6362955), (36.3056832, 59.6341257)]"
ناحیه ۳ منطقه ۳,5,0,124,275,1,0,0,76,1,66.67,"[(36.3362895, 59.6062435), (36.3648893, 59.6225393), (36.3590943, 59.614411), (36.3362895, 59.6062435), (36.3479822, 59.637406), (36.3410904, 59.6374261), (36.3355938, 59.6406233), (36.3320178, 59.6428402), (36.3298505, 59.6461849), (36.3536393, 59.6427119), (36.351595, 59.640402), (36.3486713, 59.637638), (36.3484812, 59.6375133), (36.3482717, 59.6374288), (36.3479822, 59.637406), (36.3257837, 59.6422823), (36.3278387, 59.644428), (36.3280705, 59.6446574), (36.3290089, 59.6455519), (36.3298505, 59.6461849), (36.3260949, 59.642529), (36.3257837, 59.6422823), (36.3191666, 59.6398656), (36.323667, 59.6415225), (36.3257837, 59.6422823), (36.3253629, 59.6420851), (36.3214779, 59.6404383), (36.3207986, 59.6402367), (36.3200301, 59.6400568), (36.3191666, 59.6398656), (36.3240809, 59.6308815), (36.3227756, 59.6326545), (36.3191666, 59.6398656), (36.3240809, 59.6308815)]"
